,CarPrice,Params,URL,Status,Двигател,Мощност,Евростандарт,Кубатура [куб.см],Скоростна кутия,Категория,Пробег [км],Цвят,VIN номер,Пробег с едно зареждане (WLTP) [км],Капацитет на батерията [kWh],Състояние,Дата на производствоInfo,Специализирани,Brand,Model,Month,Year,Region,City,"USB, audio\video, IN\AUX изводи",Auto Start Stop function,Ел. Стъкла,Подгряване на седалките,Регулиране на волана,Сензор за дъжд,Ел. Огледала,Система за контрол на скоростта (автопилот),Бързи \ бавни скорости,Система за измиване на фаровете,"Steptronic, Tiptronic",Адаптивно въздушно окачване,Навигация,Подгряване на предното стъкло,Климатроник,Стерео уредба,"DVD, TV",Отопление на волана,Ел. усилвател на волана,Ел. регулиране на седалките,Термопомпа,Безключово палене,Бордкомпютър,Мултифункционален волан,Хладилна жабка,Блокаж на диференциала,Печка,Bluetooth \ handsfree система,Климатик,Ел. регулиране на окачването,Датчик за светлина,Серво усилвател на волана,Велурен салон,Десен волан,Кожен салон,Въздушни възглавници - Странични,Антиблокираща система,Система за подпомагане на спирането,Система за контрол на спускането,Ел. разпределяне на спирачното усилие,Система за контрол на дистанцията,Парктроник,Система за изсушаване на накладките,Електронна програма за стабилизиране,Система ISOFIX,Система за динамична устойчивост,Въздушни възглавници - Предни,Въздушни възглавници - Задни,GPS система за проследяване,Адаптивни предни светлини,Система за защита от пробуксуване,Автоматичен контрол на стабилността,Контрол на налягането на гумите,Лизинг,Buy back,С регистрация,Нов внос,Метанова уредба,Сервизна книжка,4x4,Дълга база,Газова уредба,Напълно обслужен,На части,Бартер,Тунинг,Капариран\Продаден,7 места,Металик,Ксенонови фарове,LED фарове,Халогенни фарове,Теглич,Рейлинг на покрива,Панорамен люк,4(5) Врати,2(3) Врати,Лети джанти,Шибедах,Спойлери,Лебедка,OFFROAD пакет,Аларма,Каско,Централно заключване
410,48500.0,"['Не се начислява ДДС', 'май 2014 г.', '216 311 км', 'Сив', 'Дизелов', '381 к.с.', 'Евро 6', '3000 куб.см', 'Автоматична', 'Джип']",www.mobile.bg/obiava-11734355955127100-bmw-x5m-m-50d-full-new-distronik-podgrev-obduhvane-full,TOP,Дизелов,381.0,Евро 6,3000 см<sup>3</sup>,Автоматична,Джип,216311.0,Сив,WBAKS810300H89521,,,,май 2014,,BMW,X5M M-50d-FULL-NEW-DISTRONIK-PODGREV-OBDUHVANE-FULL,5,2014,общ. Дупница,Дупница,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,True,False,True,False,False,True,False,True
411,60100.0,"['Не се начислява ДДС', 'май 2016 г.', '117 500 км', 'Сив', 'Дизелов', '381 к.с.', 'Евро 6', '3000 куб.см', 'Автоматична', 'Джип']",www.mobile.bg/obiava-21741216768101246-bmw-x5m-m-50d-7mesta,TOP,Дизелов,381.0,Евро 6,3000 см<sup>3</sup>,Автоматична,Джип,117500.0,Сив,,,,,,,BMW,X5M M-50d 7Места,5,2016,София,София,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
412,140000.0,"['Не се начислява ДДС', 'ноември 2020 г.', '111 000 км', 'Бензинов', '625 к.с.', 'Евро 6', '4400 куб.см', 'Автоматична', 'Джип']",www.mobile.bg/obiava-11735842955444077-bmw-x5m-competition,TOP,Бензинов,625.0,Евро 6,4400 см<sup>3</sup>,Автоматична,Джип,111000.0,,WBA15BZ080N206459,,,,ноември 2020,,BMW,X5M Competition,11,2020,Бургас,Несебър,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,True
413,21900.0,"['Цената е с включено ДДС', 'септември 2009 г.', '293 000 км', 'Бордо', 'Бензинов', '306 к.с.', 'Евро 4', '3000 куб.см', 'Автоматична', 'Джип']",www.mobile.bg/obiava-21725817198170508-bmw-x6-3-0-smeneni-verigi,TOP,Бензинов,306.0,Евро 4,3000 см<sup>3</sup>,Автоматична,Джип,293000.0,Бордо,,,,,,,BMW,X6 3.0 СМЕНЕНИ ВЕРИГИ,9,2009,Варна,Варна,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,True,False,True,True,True,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,True
414,123900.0,"['Не се начислява ДДС', 'януари 2023 г.', '19 566 км', 'Tъмно син', 'Дизелов', '340 к.с.', 'Евро 6', '3000 куб.см', 'Автоматична', 'Джип']",www.mobile.bg/obiava-21735219579691890-bmw-x5-40d-xdrive,SHORT,Дизелов,340.0,Евро 6,3000 см<sup>3</sup>,Автоматична,Джип,19566.0,Tъмно син,,,,,,,BMW,X5  40D XDrive,1,2023,общ. Дупница,с. Блатино,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,False,True,True,True,False,False,False,True,True,True,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True
415,22900.0,"['Не се начислява ДДС', 'март 2010 г.', '277 000 км', 'Пясъчен', 'Дизелов', '235 к.с.', 'Евро 4', '3000 куб.см', 'Автоматична', 'Джип']",www.mobile.bg/obiava-21739365531608481-bmw-x6-unikat-3-0d-kamera-novi-gumi,TOP,Дизелов,235.0,Евро 4,3000 см<sup>3</sup>,Автоматична,Джип,277000.0,Пясъчен,,,,,,,BMW,X6 УНИКАТ* 3.0Д* Камера* Нови* Гуми,3,2010,Русе,Русе,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
416,23000.0,"['Не се начислява ДДС', 'януари 2012 г.', '191 718 км', 'Бял', 'Бензинов', '563 к.с.', 'Евро 5', '4395 куб.см', 'Автоматична', 'Джип']",www.mobile.bg/obiava-21697104472976160-bmw-x6-m-xdrive-shadow-line-avtomobila-ima-zabelezhki,TOP,Бензинов,563.0,Евро 5,4395 см<sup>3</sup>,Автоматична,Джип,191718.0,Бял,,,,,,,BMW,X6 M xDrive Shadow Line АВТОМОБИЛА ИМА ЗАБЕЛЕЖКИ,1,2012,София,София,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,False,False,True,True,False,True,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
417,25000.0,"['Не се начислява ДДС', 'септември 2013 г.', '275 000 км', 'Тъмно син мет.', 'Дизелов', '245 к.с.', 'Евро 5', '3000 куб.см', 'Автоматична', 'Джип']",www.mobile.bg/obiava-21727897856578891-bmw-x6-4-1-nay-dobra-tsena-v-bg,TOP,Дизелов,245.0,Евро 5,3000 см<sup>3</sup>,Автоматична,Джип,275000.0,Тъмно син мет.,,,,,,,BMW,X6 /4+ 1/най-добра  цена в бг,9,2013,общ. Дупница,Дупница,True,False,True,False,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
418,25500.0,"['Цената е с включено ДДС', 'октомври 2009 г.', '260 000 км', 'Металик', 'Дизелов', '286 к.с.', 'Евро 5', '3500 куб.см', 'Автоматична', 'Джип']",www.mobile.bg/obiava-21742806018127639-bmw-x6-unikat-tv-full,TOP,Дизелов,286.0,Евро 5,3500 см<sup>3</sup>,Автоматична,Джип,260000.0,Металик,,,,,,,BMW,X6 УНИКАТ TV FULL,10,2009,София,София,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True
419,26500.0,"['Не се начислява ДДС', 'юли 2010 г.', '206 000 км', 'Черен', 'Бензинов', '306 к.с.', 'Автоматична', 'Джип']",www.mobile.bg/obiava-21734107473072355-bmw-x6-shveytsariya-3-5i-lizing,TOP,Бензинов,306.0,,,Автоматична,Джип,206000.0,Черен,,,,,,,BMW,X6 Швейцария 3.5i ЛИЗИНГ,7,2010,Враца,Враца,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,False,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,True,True,False,True,False,True,False,True,False,False,False,False,True,False,True
